Id,Name,Caption__c,DynamicOperationType__c,DynamicOperation__c,Hidden__c,Hint__c,Parent__c,Position__c,RepeatSourceValue__c,Required__c,SurveyVersion__c,Test_Dynamic_Operations__c,Type__c
a0R8Y00000qxo2HUAQ,should_youth_questionnaire_show_pt_2,Should Youth Questionnaire Show in Revisit? - Calculation,Calculation,"if ( tw.locating_the_household.is_there_new_info.value == ""Non [Hapana]"" || tw.locating_the_household.available_yes_no.value == ""Non [Hapana]"" )

{ tw.locating_the_household.should_youth_questionnaire_show_pt_2.value = ""False"" ; }


else { tw.locating_the_household.should_youth_questionnaire_show_pt_2.value = ""True"" ; }",True,,a0R8Y00000qxoO5UAI,9,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2IUAQ,avail_or_new_info,Is Available (First) or New Info (Re-visit)? - Calculation,Calculation,"if ( tw.drill_down.is_first_visit_calculation.value == ""True2"" &amp;&amp; tw.locating_the_household.available_yes_no.value == ""Oui [Ndiyo]"" ) { tw.locating_the_household.avail_or_new_info.value = ""True"" ; }

else if ( tw.drill_down.is_first_visit_calculation.value == ""False2"" &amp;&amp; tw.locating_the_household.is_there_new_info.value == ""Oui [Ndiyo]"" ) { tw.locating_the_household.avail_or_new_info.value = ""True"" ; }

else { tw.locating_the_household.avail_or_new_info.value = ""False"" ; }",True,,a0R8Y00000qxoO5UAI,10,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2JUAQ,new_info_at_home,New Info and At Home Revisit? - Calculation,Calculation,"if ( tw.drill_down.is_at_home_revisit_calculation.value == ""True2"" &amp;&amp; tw.locating_the_household.is_there_new_info.value == ""Oui [Ndiyo]"" ) 

{ tw.locating_the_household.new_info_at_home.value = ""True"" ; }

else { tw.locating_the_household.new_info_at_home.value = ""False"" ; }",True,,a0R8Y00000qxoO5UAI,11,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2KUAQ,refusing_household_position,Faites-vous partie de ce ménage? [Uko memba wa familia hii?],,,False,,a0R8Y00000qxoO7UAI,2,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2LUAQ,family_or_renter_calc,Family or Renter? - Calculation,Calculation,"if (tw.participation_and_consent.refusing_household_position.value == ""Oui [Ndiyo]"")

{ tw.participation_and_consent.family_or_renter_calc.value = ""True"" ; }

else {tw.participation_and_consent.family_or_renter_calc.value = ""False"" ; }",True,,a0R8Y00000qxoO7UAI,3,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2MUAQ,above_18_yes_no,Avez-vous 18 ans ou plus? [Je una myaka 18 ao zaidi?],,,False,,a0R8Y00000qxoO7UAI,5,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2NUAQ,available_first_visit,Available and First Visit/NAH?,Calculation,"if ( tw.participation_and_consent.refusing_household_position.value == ""Non [Hapana]"" ||  tw.participation_and_consent.above_18_other_later_yes_no.value == ""Oui [Ndiyo]"" )

{ tw.participation_and_consent.available_first_visit.value = ""True"" ; }

else { tw.participation_and_consent.available_first_visit.value = ""False"" ; }",True,,a0R8Y00000qxoO7UAI,6,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2OUAQ,above_18_other_later_yes_no,Y a-t-il quelqu'un de 18 ans ou plus dans ce ménage à qui nous pouvons parler à une autre occasion? [Je! Kuna mtu mwingine yeyote zaidi ya 18 au zaidi katika nyumba hii ambaye tunaweza kuzungumza naye tena?],,,False,,a0R8Y00000qxoO7UAI,7,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2PUAQ,revisit_time_multi,Quand est-ce qu’une personne de 18 ans ou plus sera-t-elle à la maison pour que nous puissions passer pour une visite? [Je! Ni wakati gani njo mtu wa miaka 18 ama zaidi atakuwa nyumbani ili tuweze kupita kwa matembezi?],Validation,"var noReasonProvided = tw.participation_and_consent.revisit_time_multi.value.contains(""Je ne sais pas [Sijui]""); 

var otherReasonProvided = tw.participation_and_consent.revisit_time_multi.value.contains(""Matin en semaine [Asubuyi siku la juma]"") || tw.participation_and_consent.revisit_time_multi.value.contains(""Après-midi en semaine [Kisha mchana siku la juma]"") || tw.participation_and_consent.revisit_time_multi.value.contains(""Samedi matin [Jumamosi asubuyi]"") || tw.participation_and_consent.revisit_time_multi.value.contains(""Samedi après-midi [Jumamosi kisha mchana]"") || tw.participation_and_consent.revisit_time_multi.value.contains(""Dimanche matin [Jumapili asubuyi]"") || tw.participation_and_consent.revisit_time_multi.value.contains(""Dimanche après-midi [Jumapili kisha mchana]"") || tw.participation_and_consent.revisit_time_multi.value.contains(""A partir d'une date précise (sélectionner dans la question suivante) [Kwa tarehe ijulikanayo (changua ndani ya swali ifuuatao)]"");

if (noReasonProvided &amp;&amp; otherReasonProvided) { throw ""Vous avez sélectionné la réponse Je ne sais pas et une autre reponse! [Ulichagua Sijui na jibu yengine!]""; }",False,,a0R8Y00000qxoO7UAI,8,,True,a0e8Y00000IZYo5QAH,False,checkbox
a0R8Y00000qxo2QUAQ,fo_upfront_security,RÉPONDEZ À CETTE QUESTION EN PRIVÉ: [JIBU BINAFSI:],,,False,,a0R8Y00000qxoO7UAI,10,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2RUAQ,fo_upfront_leave_yes_no,RÉPONDEZ À CETTE QUESTION EN PRIVÉ: [JIBU BINAFSI:],,,False,,a0R8Y00000qxoO7UAI,11,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2VUAQ,youths_yes_no,Y a-t-il des jeunes nés entre 1994 et 2000 qui vivent dans ce ménage? [Je! Kuna vijana waliozaliwa kati ya 1994 na 2000 ambao wanaishi katika nyumba hii?],,,False,,a0R8Y00000qxoOBUAY,3,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2WUAQ,terminate_yes_no,RÉPONDEZ À CETTE QUESTION EN PRIVÉ: [JIBU BINAFSI:],,,False,,a0R8Y00000qxoOBUAY,4,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2ZUAQ,is_name_real_name_calculation,Is Name Real Name? - Calculation,Calculation,"if ( tw.youth_data.current.name_pulled_down.value !== null &amp;&amp; tw.youth_data.current.name_pulled_down.value !== ""Unknown"" ) 
{ tw.youth_data.current.is_name_real_name_calculation.value = ""True"" ; }
else { tw.youth_data.current.is_name_real_name_calculation.value = ""False"" ; }",True,,a0R8Y00000qxoOGUAY,4,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2SUAQ,refusing_yes_no,Consentez-vous à répondre à nos questions? [Je! Muna Kubali ku jibu kwa maswali zetu?],,,False,,a0R8Y00000qxoO7UAI,13,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2TUAQ,refusing_sign_yes_no,"Veuillez s'il vous plaît confirmer par votre signature que vous ne voulez pas répondre à nos questions? [Tafadhali, hakikisha kama hautaki kujibu ma swali zetu?]",,,False,,a0R8Y00000qxoO7UAI,14,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2UUAQ,refusing_reason,Quelle est la raison pour laquelle la personne ne souhaite pas participer à l'enquête? [Je! Ni kwanini mtu hataki kushiriki kwenye uchunguzi?],,,False,,a0R8Y00000qxoO7UAI,17,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2XUAQ,youth_phone_nah_no_census_yes_no,Avez-vous un numéro de téléphone portable opérationnel auquel nous pouvons vous joindre? [Je! Kuna namba inayotumika kwenye tunaweza kuku ita?],,,False,,a0R8Y00000qxoOBUAY,6,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2YUAQ,is_name_unknown_calculation,Is Name Unknown? - Calculation,Calculation,"if ( tw.youth_data.current.name_pulled_down.value == ""Unknown"" ) { tw.youth_data.current.is_name_unknown_calculation.value = ""True"" ; }

else { tw.youth_data.current.is_name_unknown_calculation.value = ""False"" ; }",True,,a0R8Y00000qxoOGUAY,3,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2dUAA,twin_yes_no_2,Le jeune est-il un jumeau? [ SWAHILI ],,,False,,a0R8Y00000qxoOGUAY,11,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2aUAA,new_info_questionnaire,Est-ce qu'il y a des nouvelles informations à propos de ce jeune? [Je! Kuna habari mpya kuhusu huyu kijana?],,,False,,a0R8Y00000qxoOGUAY,8,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2bUAA,in_person_yes_no,Ce ou cette jeune est-il actuellement disponible pour donner des renseignements lui même? [Je! Kijana huyu iko tayari kuzungumza kwa sasa?],,,False,,a0R8Y00000qxoOGUAY,9,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2cUAA,youth_gender,"Veuillez indiquer le sexe de ce jeune: [Tafadhali, kijana ni mwanaume ao mwanamuke:]",,,False,,a0R8Y00000qxoOGUAY,10,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2eUAA,first_born_yes_no_2,Le jeune est-il le premier né? [ SWAHILI ],,,False,,a0R8Y00000qxoOGUAY,12,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2fUAA,preferred_language,Quelle est la langue que le jeune lit couramment? [Je! Kijana ana soma luga gani?],,,False,,a0R8Y00000qxoOGUAY,13,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2gUAA,has_youths_carte,Ce jeune possède-t-il une carte d’électeur? [Je! huyu kijana anayo Kadi ya kupiga kura?],,,False,,a0R8Y00000qxoOGUAY,14,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2hUAA,youth_consent_yes_no,Acceptez-vous de répondre à quelques questions? [Je! Unakubali kujibu maswali machache?],,,False,,a0R8Y00000qxoOGUAY,16,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2iUAA,youth_refusing_reason,Quelle est la principale raison pour laquelle ce jeune refuse de consentir? [Je! Juu ya nini kajana hapendi ku kubali kujibu maulizo?],,,False,,a0R8Y00000qxoOGUAY,18,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2jUAA,youth_carte_yes_no,Avez-vous une carte d'électeur? [Je! Unayo Kadi ya kupiga kura?],,,False,,a0R8Y00000qxoOGUAY,20,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2tUAA,phone_yes_no,Avez-vous un numéro de téléphone personnel? [Je! Una namba za simu?],,,False,,a0R8Y00000qxoOGUAY,44,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2kUAA,no_carte_picklist,Pourquoi le jeune n'a-t-il pas un carte d'electeur? [Kwa nini kijana hawezi kuenesha kadi ya kupiga kura?],Validation,"if ( ( tw.youth_data.current.youth_carte_yes_no.value == ""Oui, pas vu [Ndio, haionekane]"" || tw.youth_data.current.has_youths_carte.value == ""Oui, mais le document n'est pas present [Ndio, kadi haionekani kwa sasa]"" ) &amp;&amp; ( tw.youth_data.current.no_carte_picklist.value == ""La carte a été perdue [Ilipotea]"" || tw.youth_data.current.no_carte_picklist.value == ""La carte a été volée [Ili ibwa]"" || tw.youth_data.current.no_carte_picklist.value == ""La carte a été détruit (incendie, lave-linge, etc.) [Isha haribishwa (moto, maji, etc.)]"") ) 

{ throw ""Si la carte est perdue, volée, ou détruit, veuillez retourner à la question précédente et sélectionner 'Non'. [Kama kadi ilipotea ao ilibiwa, tafadhali rudi uchaguwe 'Hapana' kwa swali ya nyuma.]"" ; } 

else if ( ( tw.youth_data.current.youth_carte_yes_no.value == ""Non [Hapana]"" || tw.youth_data.current.has_youths_carte.value == ""Non, le jeune ne possède pas une carte d'electeur [Hapana, kijana hana kadi ya kura]"" ) &amp;&amp; ( tw.youth_data.current.no_carte_picklist.value == ""La carte est enfermée dans une autre chambre par les parents / conjoint / autre [Kadi iko katika chumba ya kufungiwa na wazazi / bibi ao bwana / mwengine]"" || tw.youth_data.current.no_carte_picklist.value == ""La carte est dans la maison, mais ne peut pas être trouvée en ce moment [Kadi iko katika nyumba, alakini sijue wapi kwa saha hii]"" || tw.youth_data.current.no_carte_picklist.value == ""La carte est retenue par le parent / conjoint / autre qui n'est pas présent [Mzazi / bibi ao bwana / mwengine njo iko na kadi yangu]"" || tw.youth_data.current.no_carte_picklist.value == ""La carte a été laissée à un ami ou à un membre de la famille, mais peut être récupérée [Kadi iliachiwa kwa rafiki ao mtu wa familiya, ina weza patikana]"" || tw.youth_data.current.no_carte_picklist.value == ""La carte est conservée au lieu de travail / l'école du jeune [Kadi iko kwenye fasi y’a Kazi / masomo ya kijana]"" ) ) 

{ throw ""Si le jeune n'a pas de carte, vous ne pouvez pas choisir cette raison. [ SWAHILI ]"" ; }",False,,a0R8Y00000qxoOGUAY,21,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2lUAA,has_carte_delecteur_yes_no,Has Carte D'electeur? - Calculation,Calculation,"if ( tw.youth_data.current.youth_carte_yes_no.value == ""Oui, l'original ou photocopie [Ndio, kadi orijinal au fotocopi ipo]"" || tw.youth_data.current.youth_carte_yes_no.value == ""Oui, pas vu [Ndio, haionekane]"" || tw.youth_data.current.has_youths_carte.value == ""Oui, et le document est present [Ndio kadi ipo]"" || tw.youth_data.current.has_youths_carte.value == ""Oui, mais le document n'est pas present [Ndio, kadi haionekani kwa sasa]"" )

{ tw.youth_data.current.has_carte_delecteur_yes_no.value = ""True2"" ; }

else { tw.youth_data.current.has_carte_delecteur_yes_no.value = ""False2"" ; }",True,,a0R8Y00000qxoOGUAY,23,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2mUAA,has_no_id_documents_calculation,Has No Carte D'electeur? - Calculation,Validation,"if ( tw.youth_data.current.has_carte_delecteur_yes_no.value == ""False2"" ) { tw.youth_data.current.has_no_id_documents_calculation.value = ""True2"" ;}
else { tw.youth_data.current.has_no_id_documents_calculation.value = ""False2"" ; }",True,,a0R8Y00000qxoOGUAY,24,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2nUAA,has_carte_delecteur_present_calculation,Has Carte D'electeur Present? - Calculation,Calculation,"if ( tw.youth_data.current.youth_carte_yes_no.value == ""Oui, l'original ou photocopie [Ndio, kadi orijinal au fotocopi ipo]"" || tw.youth_data.current.has_youths_carte.value == ""Oui, et le document est present [Ndio kadi ipo]"" ) { tw.youth_data.current.has_carte_delecteur_present_calculation.value = ""True"" ; } else { tw.youth_data.current.has_carte_delecteur_present_calculation.value = ""False"" ; }",True,,a0R8Y00000qxoOGUAY,25,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2oUAA,confirm_nah_and_no_docs,"Veuillez confirmer que ce jeune n'est pas disponible actuellement et qu'il n'est présent dans aucun document: [Tafadhali, hakikisha kama huju kijana haiko nyumbani na katika vitambulisho vya sensa:]",Validation,"if ( tw.youth_data.current.confirm_nah_and_no_docs.value == ""Non [Hapana]"" ) { throw ""Veuillez retourner en arriére dans le sondage pour remplir les renseignements sur les jeunes. [Tafadhali, rudi nyuma katika maulizo, nauulize swali kuhusu vijana.]"" ;}",False,,a0R8Y00000qxoOGUAY,27,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2pUAA,photo_docs_consent,LIRE À L'ENQUETE: [SOMA KUFANYA:],,,False,,a0R8Y00000qxoOGUAY,38,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2qUAA,twin_yes_no,Êtes-vous un jumeau? [Je! Wewe ni mtoto mapasa wa kwanza kuzaliwa?],,,False,,a0R8Y00000qxoOGUAY,40,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2rUAA,first_born_yes_no,Êtes-vous le premier né? [Je! Wewe ni mtoto wa kwanza kuzaliwa?],,,False,,a0R8Y00000qxoOGUAY,41,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2sUAA,photo_consent,LIRE À L'ENQUETE: [SOMA KUFANYA:],,,False,,a0R8Y00000qxoOGUAY,42,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2uUAA,phone_number_yes_no,LIRE À L'ENQUETE: [SOMA KUFANYA:],,,False,,a0R8Y00000qxoOGUAY,45,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo30UAA,fraud_one,RÉPONDEZ À CETTE QUESTION EN PRIVÉ: [JIBU BINAFSI:],,,False,,a0R8Y00000qxoOGUAY,61,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2vUAA,not_home_phone,Est-ce que le répondant ou une autre personne présente connaît le numéro de téléphone auquel ce jeune peut être contacté? [Je! Mhojiwa au mtu mwengine hajui namba ambayo tunaweza ku wasili ili tu ongeleshe kijana.],,,False,,a0R8Y00000qxoOGUAY,52,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2wUAA,whose_number_1,Ce numéro de téléphone est-il le numéro de téléphone personnel du jeune ou celui d'une autre personne? [Je! Nambari hii ya simu ni nambari ya kibinafsi ya vijana au nambari ya mtu mwingine?],,,False,,a0R8Y00000qxoOGUAY,55,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2xUAA,whose_num,A qui appartient ce numéro? [Whose phone namba is this?],,,False,,a0R8Y00000qxoOGUAY,56,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2yUAA,whose_number_2,Ce numéro de téléphone est-il le numéro de téléphone personnel du jeune ou celui d'une autre personne? [Je! Nambari hii ya simu ni nambari ya kibinafsi ya vijana au nambari ya mtu mwingine?],,,False,,a0R8Y00000qxoOGUAY,59,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo2zUAA,whose_num_2,A qui appartient ce numéro? [Namba ya simu ni za nani?],,,False,,a0R8Y00000qxoOGUAY,60,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo31UAA,twin_status_calculation,Twin Status - Calculation,Calculation,"if ( tw.youth_data.current.twin_yes_no.value == ""Oui [Ndiyo]"" || tw.youth_data.current.twin_yes_no_2.value == ""Oui [Ndiyo]"" ) { tw.youth_data.current.twin_status_calculation.value = ""Oui [Ndiyo]"" ; }

else { tw.youth_data.current.twin_status_calculation.value = ""Non [Hapana]"" ; }",True,,a0R8Y00000qxoOGUAY,62,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo32UAA,first_born_status_calculation,First Born Status - Calculation,Calculation,"if ( tw.youth_data.current.first_born_yes_no.value == ""Oui [Ndiyo]"" || tw.youth_data.current.first_born_yes_no_2.value == ""Oui [Ndiyo]"" ) { tw.youth_data.current.first_born_status_calculation.value = ""Oui [Ndiyo]"" ; }

else { tw.youth_data.current.first_born_status_calculation.value = ""Non [Hapana]"" ; }",True,,a0R8Y00000qxoOGUAY,63,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo33UAA,youth_present_or_in_docs,Youth Present or in ID Documents? - Calculation,Calculation,"if ( tw.youth_data.current.has_youths_carte.value == ""Oui, et le document est present [Ndio kadi ipo]"" || tw.youth_data.current.youth_carte_yes_no.value == ""Oui, l'original ou photocopie [Ndio, kadi orijinal au fotocopi ipo]"" || tw.youth_data.current.youth_carte_yes_no.value == ""Oui, pas vu [Ndio, haionekane]"" || tw.youth_data.current.in_person_yes_no.value == ""Oui [Ndiyo]"" )
{ tw.youth_data.current.youth_present_or_in_docs.value = ""True2"" ; }

else { tw.youth_data.current.youth_present_or_in_docs.value = ""False2"" ; }",True,,a0R8Y00000qxoOGUAY,64,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo37UAA,is_refusing,Is Refusing? - for Survey Attempt Object,Calculation,"if ( tw.youth_data.current.youth_consent_yes_no.value == ""Non [Hapana]"" ) { tw.youth_data.current.is_refusing.value = ""True2"" ; }

else { tw.youth_data.current.is_refusing.value = ""False2"" ; }",True,,a0R8Y00000qxoOGUAY,70,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo34UAA,name_verification_status,Name Verification Status - for Recipient Object,Calculation,"tw.youth_data.current.name_verification_status.value = ""No Name Mapping Found2"";",True,,a0R8Y00000qxoOGUAY,65,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo35UAA,sanctions_list_status,Sanctions List Status - for Recipient Object,Calculation,"tw.youth_data.current.sanctions_list_status.value = ""Unscreened2"";",True,,a0R8Y00000qxoOGUAY,66,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo36UAA,survey_type,Survey Type - for Survey Attempt Object,Calculation,"tw.youth_data.current.survey_type.value = ""Census2"";",True,,a0R8Y00000qxoOGUAY,69,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo3BUAQ,should_relocating_show,Should Re-locating Youths Show? - Calculation,Calculation,"var showQuestion = ""False"" ; 

if ( tw.youth_data !== null )
{ for (var i = 0; i &lt; tw.youth_data.length ; i++) {
    var youth_data = tw.youth_data[i];
    if (youth_data.is_successful.value == 'False2' ) {
        showQuestion = ""True"" ;
    }
} }

tw.calculating_relocation.should_relocating_show.value = showQuestion ;",True,,a0R8Y00000qxoOZUAY,2,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo38UAA,is_successful,Is Successful? (Youth) - for Survey Attempt Object,Calculation,"if ( tw.youth_data.current.youth_present_or_in_docs.value == ""True2"" || tw.youth_data.current.youth_consent_yes_no.value ==  ""Non [Hapana]"" || tw.youth_data.current.has_youths_carte.value == ""Non, le jeune ne possède pas une carte d'electeur [Hapana, kijana hana kadi ya kura]"" || tw.youth_data.current.youth_carte_yes_no.value == ""Non [Hapana]"" )
{tw.youth_data.current.is_successful.value = ""True2"";}

else if ( tw.youth_data.current.new_info_questionnaire.value == ""Non [Hapana]"" )
{tw.youth_data.current.is_successful.value = ""False2"";}

else {tw.youth_data.current.is_successful.value = ""False2"";}",True,,a0R8Y00000qxoOGUAY,71,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo39UAA,stage,Stage - for Recipient Object,Calculation,"if ( tw.youth_data.current.is_successful.value == ""True2"" ) 
{ tw.youth_data.current.stage.value = ""Census Complete2"" ; } 

else { tw.youth_data.current.stage.value = ""Census2"" ; }",True,,a0R8Y00000qxoOGUAY,72,,True,a0e8Y00000IZYo5QAH,False,radio
a0R8Y00000qxo3AUAQ,needs_token_not_abandoned_calculation,Needs Token & Not Abandoned? - Calculation,Calculation,"if ( tw.locating_the_household.needs_token_calculation.value == ""True"" &amp;&amp; tw.locating_the_household.abandoned_yes_no.value == ""Non [Hapana]"" )
{ tw.calculating_relocation.needs_token_not_abandoned_calculation.value = ""True"" ; }

else { tw.calculating_relocation.needs_token_not_abandoned_calculation.value = ""False"" ; }",True,,a0R8Y00000qxoOZUAY,1,,True,a0e8Y00000IZYo5QAH,False,radio
